	0	0.85	0.15
855775c1-266f-40f6-b07b-3a67ccdf8551	68	0.87	0.13
b8ab86c6-9054-4832-9b96-508dbd4eb624	68	0.87	0.13
cd417f8a-ce01-4ab2-921d-42e2e445bbe2	68	0.84	0.16
ea44bd36-65b4-4f3b-ac71-78d87a540b48	68	0.74	0.26
ce0e57a7-89f5-41ea-80f9-6e649dd54089	68	0.97	0.03
4941976e-31fc-49b5-801a-18abe072178b	68	0.94	0.06
20e13b56-599b-4a22-b752-8059effc81dc	69	0.83	0.17
26cfccf2-850e-43eb-b085-ff73ad0749b8	69	0.90	0.10
bf6a24d1-4e89-4790-a4ba-eeb2870cbf6f	69	0.93	0.07
1f159bab-923a-4811-b6fa-02bfde50925a	69	0.87	0.13
d4a10c2a-0c28-466a-9213-38ba3339b65e	70	0.86	0.14
7310c32f-8f32-40f2-b086-54555a2c0e86	70	0.77	0.23
e6114fd4-a11d-4f6c-b823-65691bb2d288	71	0.87	0.13
d89da2d2-674c-4b85-8959-a4bd406f760a	71	0.76	0.24
b7267aba-6114-4d53-a519-bf6c99f4e3a9	71	0.72	0.28
17392be2-7344-48a0-b4db-8a040a7fb532	71	0.82	0.18
4e6ad1a1-7c71-49de-8bd5-c286712faf9e	71	0.87	0.13
86d4e22b-f107-4bcf-9625-32d387fcb521	71	0.90	0.10
b1b141fc-e867-40d1-842a-cea30a97ca4f	72	0.86	0.14
fa477c92-39b6-4a52-b065-40af2f29840a	72	0.89	0.11
126fb128-7c53-45b5-ac2b-5dbf9943d71b	72	0.74	0.26
8a6fc67d-a7fe-443b-a084-744294cec647	72	0.86	0.14
8604e861-d784-43f0-b0f8-0d43ea6f7814	72	0.82	0.18
82d1b7b4-ce00-4536-8631-a025f05150ce	73	0.84	0.16
7e9a514a-7850-4ed0-93ab-f3a6e2f41c03	73	0.84	0.16
06ced607-7f96-41e7-a8cd-b501d11d1a7e	73	0.84	0.16
a311c089-0df4-46bd-9f5d-8c45c7eb5ae2	73	0.81	0.19
413b3ddb-d933-4567-a60e-6d157480239d	73	0.78	0.22
64f4cd75-0c1e-42cf-9ff0-e41c4756f22a	73	0.92	0.08
425f3f84-bab0-4cf2-91c1-96e78cf5cd02	73	0.79	0.21
c73d59dd-32a0-49ce-8ab4-b2dbb7dc94ec	73	0.82	0.18
ee55248b-318a-4bfb-8894-1cc70e4e0720	73	0.92	0.08
9c3273a0-2711-4958-b716-bfcf60857013	74	0.85	0.15
63df8701-1871-4987-87d7-b55d4f1df2e9	74	0.84	0.16
90c6e6ca-77fc-42b7-94d8-d8afd6d299e5	74	0.88	0.12
69196296-f652-42ff-b2ca-0d9b50bd9b7b	76	0.79	0.21
9ac2e7c5-5a34-4738-98d8-9f917bc6d119	76	0.87	0.13
c22e3af5-9001-465f-b450-864d7db2b4a0	76	0.78	0.22
cd68d3a6-7fbc-445d-90f1-970c955e32f4	76	0.75	0.25
d1a7c13f-8e78-4d2e-9cae-ebf3a5fcdb5d	77	0.90	0.10
495a6bdc-174d-4ad6-8d51-9ee88b1c2e4a	77	0.87	0.13
5ca7e854-dc00-4955-9235-d7fcd732ddcf	77	0.81	0.19
7a75d626-d4fd-474f-a862-473138d8c376	78	0.81	0.19
bd4c6837-eeaa-4675-ae48-061efa0fd11a	78	0.90	0.10
88cd6efa-dbf2-4309-aabe-ec1d6f21f98a	78	0.73	0.27
12577256-bc4e-4955-81d6-b422d895fb12	78	0.90	0.10
8cf78b49-d0ca-4703-88e8-4bcad26c44b1	79	0.89	0.11
b3d518b9-dc68-4902-b68c-0022ceb25aa0	79	0.90	0.10
285ce77d-e5cd-4daa-9784-801347140d48	79	0.76	0.24
7b0f91aa-4d66-4362-993d-6ff60f7ce0ef	80	0.78	0.23
bbf9543f-f100-445a-a467-81d7aab12236	80	0.95	0.05
5dbf11c0-994a-4482-bd1e-99379148ee45	80	0.88	0.13
8b53ce82-4b1a-48f0-999d-1774b3719202	80	0.90	0.10
80e474a3-7d2b-431d-8192-2f1e27162607	80	0.85	0.15
