	0	0.93	0.07
27c68d7f-5e40-4afa-8b6f-9df47b79e7dd	46	0.74	0.26
c17a4397-4dcc-440e-8c53-d897e971cae9	46	1.00	0.00
68f98a04-204f-4675-92a7-8823f2277075	47	0.98	0.02
05bd08d5-7d9f-450b-abfa-1788b8ee8b91	47	1.00	0.00
26cfccf2-850e-43eb-b085-ff73ad0749b8	47	0.98	0.02
d23a1f7e-0071-444e-8361-6ae01f13036f	47	1.00	0.00
20e13b56-599b-4a22-b752-8059effc81dc	48	0.98	0.02
a1ed3396-114a-40bc-9ff0-54d7e1ad1718	48	1.00	0.00
c83f0fe0-44d1-4342-81e8-944bb38f8e23	48	0.88	0.13
e4f1f358-ee1f-4466-863e-f329766279d0	48	0.96	0.04
bf6a24d1-4e89-4790-a4ba-eeb2870cbf6f	48	0.94	0.06
7a75d626-d4fd-474f-a862-473138d8c376	49	0.78	0.22
defbc540-a36d-460b-afd8-07da2375ee63	49	0.90	0.10
66cebbbf-9933-4329-924a-72bd3718f321	50	0.98	0.02
b7267aba-6114-4d53-a519-bf6c99f4e3a9	50	0.92	0.08
413b3ddb-d933-4567-a60e-6d157480239d	50	0.96	0.04
4ffd2e50-bb5b-45d0-b7c4-e24d41b2ff5d	52	0.79	0.21
4ca52626-58cd-449d-88bb-f6d631588640	53	1.00	0.00
4941976e-31fc-49b5-801a-18abe072178b	53	0.98	0.02
1301ee81-406e-43d9-b2bb-55ca6e0f7765	53	0.98	0.02
70ccff1e-6b53-40e2-8844-0a28621cb33e	54	0.85	0.15
ce0e57a7-89f5-41ea-80f9-6e649dd54089	54	0.98	0.02
d6c69d2d-9344-4b19-85a4-6cfcbaead5d2	54	0.87	0.13
53e701c7-e3c8-4e18-ba05-9b41b4b64cda	54	1.00	0.00
d74a2473-1f29-40fa-a41e-66fa2281dfca	55	0.98	0.02
0c83e3b6-360e-4b7d-85e3-d906633c9ca0	55	1.00	0.00
9be56060-3b01-47aa-a090-d072ef109fbf	56	0.89	0.11
d1a7c13f-8e78-4d2e-9cae-ebf3a5fcdb5d	56	0.82	0.18
18798b8f-6391-4cb2-8a5f-6fb540d646d5	56	0.93	0.07
90c6e6ca-77fc-42b7-94d8-d8afd6d299e5	56	0.98	0.02
efafe75e-2f00-4418-914c-9b6675d39264	57	0.93	0.07
ee55248b-318a-4bfb-8894-1cc70e4e0720	58	0.98	0.02
2f3d7bc7-6ffb-40c3-a94f-5e626be413c9	58	1.00	0.00
9c3273a0-2711-4958-b716-bfcf60857013	59	1.00	0.00
d47dd08e-833c-4302-a965-a391d345455c	59	0.95	0.05
a311c089-0df4-46bd-9f5d-8c45c7eb5ae2	60	0.82	0.18
cd417f8a-ce01-4ab2-921d-42e2e445bbe2	62	0.95	0.05
88cd6efa-dbf2-4309-aabe-ec1d6f21f98a	62	1.00	0.00
7b0f91aa-4d66-4362-993d-6ff60f7ce0ef	64	0.88	0.13
b1b141fc-e867-40d1-842a-cea30a97ca4f	64	1.00	0.00
2e86de11-a2dd-4b28-b5fe-f4d0c38cd20b	66	0.92	0.08
c73d59dd-32a0-49ce-8ab4-b2dbb7dc94ec	66	0.85	0.15
11de4da3-8208-43ff-a1ff-0b3480a0fbf1	67	0.82	0.18
198fd9c8-cb75-482d-873e-e6b91d42a446	69	1.00	0.00
17392be2-7344-48a0-b4db-8a040a7fb532	69	0.97	0.03
b39b5aae-8571-4c90-887a-6a00f2a2f6fd	71	0.92	0.08
b8ab86c6-9054-4832-9b96-508dbd4eb624	73	0.99	0.01
cbd19e6f-3d08-4734-b23f-585330028665	76	0.96	0.04
493a83de-6bcf-41a1-97dd-cc5e150548a3	78	0.99	0.01
f967d064-0eaf-4445-b225-daed700e044b	80	0.98	0.03
58c9e294-bd49-457c-883f-fb3162fc668e	85	0.99	0.01
2b157c5c-9a6a-45a6-858f-bf4cf4cbc0bd	91	0.76	0.24
bd4c6837-eeaa-4675-ae48-061efa0fd11a	94	0.98	0.02
